bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,lat,long,view,waterfront
4,2.25,2530,8736,1.0,4,7,47.6049,-122.126,0,0
4,3.25,2050,5000,2.0,4,8,47.6235,-122.298,0,0
2,2.5,1470,690,3.0,3,8,47.6523,-122.346,3,0
3,1.75,1970,10270,1.0,4,8,47.3619,-122.285,0,0
3,1.5,1740,21980,1.0,4,7,47.3644,-122.132,0,0
4,2.0,1710,5440,1.0,5,8,47.366,-122.093,0,0
3,2.0,2010,16736,2.0,4,6,47.7643,-122.352,0,0
3,2.25,1610,6655,2.0,4,7,47.4296,-122.161,0,0
5,4.25,3350,3600,2.0,3,10,47.6351,-122.364,0,0
4,1.0,1630,8400,1.0,3,6,47.3052,-122.362,0,0
3,1.75,1340,8000,1.0,3,7,47.3651,-122.044,0,0
3,2.5,2300,18540,1.0,3,8,47.7767,-122.369,0,0
3,1.75,1940,10245,1.0,3,7,47.5833,-122.241,0,0
5,2.75,2920,6327,2.0,3,8,47.4935,-122.145,0,0
3,1.75,1200,4500,1.0,5,7,47.5553,-122.316,0,0
4,2.0,1190,7877,1.5,5,7,47.7538,-122.322,0,0
3,2.25,2160,37000,1.5,4,7,47.7297,-122.139,0,0
4,2.0,2850,4497,1.5,3,7,47.5876,-122.292,1,0
3,2.25,2070,2833,2.0,3,8,47.5543,-122.398,2,0
2,1.0,1170,6000,1.0,4,7,47.6994,-122.354,0,0
6,3.0,2480,9720,2.0,3,8,47.6127,-122.145,0,0
5,2.5,1660,4000,1.5,5,8,47.6452,-122.352,0,0
4,2.5,1900,9240,1.0,3,7,47.6167,-122.137,0,0
5,2.0,2440,3080,2.0,4,8,47.6242,-122.306,0,0
2,1.75,1210,131115,1.5,5,7,47.4599,-122.45,0,0
4,2.25,2200,6967,2.0,3,8,47.7355,-122.202,0,0
3,1.75,1570,7775,2.0,3,7,47.3876,-122.216,0,0
3,2.25,1860,1386,3.0,3,9,47.6368,-122.279,0,0
3,2.0,1460,6377,1.0,3,7,47.3679,-122.02,0,0
4,2.0,1870,6000,1.5,3,7,47.7155,-122.315,0,0
4,2.0,2200,13320,1.0,3,6,47.481,-122.292,0,0
3,1.0,1310,18135,1.0,3,7,47.6065,-122.113,0,0
3,2.5,3160,12824,1.0,4,9,47.6151,-122.216,2,0
4,2.25,1840,7575,1.0,4,7,47.7328,-122.198,0,0
4,4.5,4750,13912,2.0,3,10,47.5332,-122.265,2,0
3,2.0,1510,43560,1.0,3,7,47.7218,-122.079,0,0
3,1.75,1410,15120,1.0,4,7,47.5974,-122.195,0,0
4,3.0,3150,9318,2.0,3,9,47.5959,-122.018,0,0
3,1.75,1870,9897,1.0,4,8,47.5505,-122.221,0,0
3,2.5,1790,3754,2.0,3,8,47.534,-121.841,0,0
2,2.25,1360,1336,3.0,3,8,47.6714,-122.392,0,0
3,3.25,2610,16387,2.0,3,9,47.7175,-122.278,4,1
3,2.5,2260,93218,1.0,4,6,47.2582,-121.935,2,0
4,3.0,2440,9600,2.0,5,7,47.7044,-122.2,0,0
4,1.0,1280,10521,1.5,3,7,47.4215,-122.289,0,0
3,1.5,2240,3750,1.0,3,7,47.6624,-122.336,0,0
3,2.25,1780,8050,1.0,4,7,47.6977,-122.126,0,0
4,3.0,2253,7700,2.0,3,7,47.3935,-122.3,0,0
3,2.5,1660,4083,2.0,3,7,47.3595,-122.045,0,0
3,2.5,2320,36847,2.0,3,9,47.4838,-121.714,2,0
3,2.5,1430,1056,3.0,3,8,47.684,-122.388,0,0
3,2.75,2460,3600,2.0,3,9,47.5409,-121.994,0,0
3,2.25,2260,33080,1.0,5,9,47.6386,-122.183,0,0
4,3.5,3440,3800,3.0,3,9,47.6408,-122.307,0,0
3,1.75,1300,7030,1.0,3,7,47.721,-122.179,0,0
6,2.25,2450,25600,1.0,3,7,47.6061,-122.117,2,0
3,2.5,2260,33042,1.0,3,9,47.7634,-122.086,0,0
3,2.5,1440,3840,2.0,3,7,47.6873,-122.043,0,0
3,1.5,1640,8301,1.0,3,7,47.7443,-122.327,0,0
3,2.5,1730,7442,2.0,3,7,47.3507,-122.178,0,0
6,3.0,3870,43787,2.0,3,8,47.7642,-122.098,0,0
4,2.5,2440,7797,1.0,3,8,47.3895,-122.222,0,0
4,3.0,1900,7194,2.0,4,7,47.3768,-122.117,0,0
3,2.5,1680,4584,2.0,3,7,47.4794,-122.182,0,0
2,2.5,1830,2856,2.0,3,7,47.5524,-121.996,0,0
4,2.5,3300,28433,2.0,3,9,47.5072,-122.112,0,0
3,2.75,3010,12432,1.0,4,8,47.6392,-122.108,0,0
5,1.5,1830,9000,1.0,3,7,47.7488,-122.292,2,0
3,2.5,1780,2778,2.0,3,8,47.5487,-122.372,0,0
3,1.0,1520,8600,1.0,3,6,47.5134,-122.335,0,0
4,2.5,2490,5812,2.0,3,8,47.3875,-122.155,0,0
3,2.25,1560,35026,1.0,3,7,47.3023,-122.069,0,0
3,1.75,2110,56192,1.0,3,7,47.7701,-122.138,0,0
3,2.25,1760,8287,1.0,3,7,47.4501,-122.274,0,0
3,1.75,1410,15134,1.0,3,7,47.6931,-121.921,0,0
3,2.5,2120,196995,1.0,3,9,47.4089,-122.459,1,0
3,3.25,2030,11070,2.0,4,8,47.6478,-122.117,0,0
4,2.5,3170,32430,2.5,3,10,47.6903,-122.056,0,0
3,1.0,1130,11250,1.0,3,7,47.7254,-122.227,0,0
3,2.5,3110,9015,2.0,3,9,47.4369,-122.147,0,0
3,2.25,1940,8312,1.0,4,7,47.4556,-122.346,1,0
3,2.5,2390,6550,1.0,4,8,47.5714,-122.408,2,0
2,1.0,1450,3090,2.0,3,7,47.6853,-122.356,0,0
2,1.0,960,4000,1.0,3,6,47.5554,-122.267,0,0
3,1.75,1480,2200,2.0,3,7,47.6969,-122.35,0,0
2,1.5,830,1325,2.0,3,7,47.5472,-122.384,0,0
2,1.5,2440,6900,2.0,3,7,47.5568,-122.271,0,0
3,2.75,2100,10362,2.0,3,9,47.4347,-121.417,0,0
4,1.5,1550,5053,1.0,4,7,47.5499,-122.274,0,0
3,1.0,960,5750,1.0,3,7,47.5689,-122.393,0,0
3,2.0,2610,12180,1.0,3,7,47.5063,-122.346,0,0
3,2.25,1880,6565,1.0,4,8,47.6396,-122.113,0,0
5,2.5,2550,6405,2.0,3,7,47.5191,-121.869,0,0
4,2.75,3000,5470,2.0,3,8,47.3613,-122.038,0,0
2,1.0,860,5800,1.0,5,5,47.4979,-122.183,0,0
5,2.75,2930,10148,2.0,3,9,47.4887,-122.145,0,0
2,2.25,1330,1380,2.0,3,8,47.577,-122.41,0,0
3,1.75,1700,5750,1.5,5,7,47.5643,-122.38,2,0
4,3.0,4500,21780,2.0,3,9,47.5581,-122.213,2,0
4,3.0,3080,10757,2.0,5,8,47.5671,-122.159,3,0
4,2.75,2410,5650,1.5,5,8,47.5651,-122.391,0,0
3,2.5,2050,6420,1.0,3,8,47.5708,-122.405,3,0
5,2.25,2570,13054,1.0,3,8,47.4487,-122.352,1,0
4,3.5,4610,12500,2.0,3,11,47.6508,-122.203,2,0
3,2.5,2620,28703,1.0,3,10,47.7238,-122.114,0,0
4,2.5,2520,11240,1.0,3,8,47.6748,-122.144,0,0
3,2.5,2350,9648,1.0,4,9,47.6156,-122.108,0,0
3,1.5,1510,16800,1.0,5,8,47.751,-122.338,0,0
3,2.5,1740,22089,1.0,4,8,47.3948,-122.435,0,0
2,1.0,720,5880,1.0,3,6,47.5056,-122.27,0,0
4,2.75,2450,15002,1.0,5,9,47.4268,-122.343,0,0
5,2.5,2200,4080,1.5,5,7,47.6872,-122.35,0,0
3,1.75,2140,5808,1.0,3,7,47.6435,-122.373,1,0
3,1.5,1140,20383,1.0,3,7,47.4755,-121.758,0,0
5,3.25,3370,7947,2.0,3,10,47.6906,-122.202,0,0
2,2.0,2180,21392,2.0,3,8,47.7162,-122.246,0,0
5,1.0,1680,9383,1.0,3,7,47.7523,-122.311,0,0
4,2.5,2220,5900,2.0,3,8,47.6956,-122.36,0,0
3,0.75,1030,12700,1.0,4,5,47.3877,-122.236,0,0
2,1.0,1290,6272,1.0,4,6,47.6777,-122.305,0,0
4,1.75,1850,65340,1.5,4,7,47.3468,-122.11,0,0
5,3.75,3090,7415,2.0,3,8,47.435,-122.329,0,0
5,1.75,1890,5000,1.5,3,7,47.6711,-122.372,0,0
3,2.75,3370,13929,2.0,3,9,47.3411,-122.197,0,0
3,1.75,1170,8239,1.0,3,7,47.3679,-122.088,0,0
3,1.75,2190,3800,1.5,4,8,47.643,-122.355,2,0
3,2.25,1430,800,2.0,3,8,47.5477,-122.388,0,0
3,2.5,2134,1984,2.5,3,8,47.5402,-122.027,0,0
3,1.75,1720,5956,2.0,3,8,47.6875,-122.202,0,0
4,1.75,2230,9625,1.0,3,8,47.508,-122.244,4,0
4,1.75,2460,7560,2.0,4,8,47.7256,-122.367,0,0
3,2.5,2610,7256,2.0,3,9,47.695,-122.18,0,0
4,2.25,2170,7007,1.0,3,8,47.672,-122.169,0,0
3,2.5,2200,9696,2.0,3,8,47.4197,-122.205,0,0
4,3.75,2452,4800,2.0,3,7,47.4744,-122.213,0,0
3,1.75,2060,5721,1.0,3,9,47.5268,-122.388,2,0
6,4.5,3300,7480,2.0,3,8,47.6796,-122.104,0,0
4,2.25,2640,3000,2.0,3,7,47.6313,-122.344,0,0
3,2.5,1530,762,2.0,3,8,47.642,-122.374,0,0
3,1.0,1990,7173,1.0,3,7,47.7116,-122.213,0,0
3,1.0,1040,9600,1.0,3,7,47.6738,-122.063,0,0
3,2.25,2550,9674,1.0,3,7,47.4856,-122.247,0,0
3,1.5,1490,12186,1.0,4,7,47.7739,-122.322,0,0
3,1.5,1810,5080,1.0,3,7,47.6819,-122.287,0,0
3,2.0,1650,6408,2.0,4,8,47.6638,-122.128,0,0
3,1.0,1130,9147,1.0,5,7,47.7006,-122.197,0,0
5,2.75,2880,4425,2.0,3,8,47.7048,-122.109,0,0
2,1.75,2050,11900,1.0,4,8,47.6209,-122.219,0,0
5,4.0,5610,22529,2.0,3,11,47.7239,-122.092,0,0
4,2.0,1590,6750,1.0,3,7,47.6406,-122.317,0,0
3,2.25,1980,8755,1.0,4,7,47.3922,-122.321,0,0
2,1.75,2770,19700,2.0,3,8,47.7581,-122.365,0,0
4,2.5,2300,3825,2.0,3,7,47.3594,-122.082,0,0
3,1.5,1630,11662,1.0,3,7,47.4455,-122.278,0,0
3,1.0,1090,10000,1.0,3,6,47.6503,-121.911,0,0
3,2.5,2740,9168,2.0,3,9,47.3835,-122.148,0,0
4,3.5,3440,6000,2.0,4,8,47.4077,-122.331,0,0
3,2.0,1990,3990,1.0,5,7,47.6572,-122.333,0,0
4,1.75,2250,292288,1.0,4,7,47.3787,-122.091,0,0
2,1.0,670,4500,1.0,3,5,47.5271,-122.326,0,0
3,2.25,1490,4522,2.0,3,7,47.7611,-122.233,0,0
4,1.75,1570,8268,1.0,3,7,47.7373,-122.197,0,0
4,4.5,4240,13162,2.0,3,10,47.6193,-122.229,0,0
3,2.5,2570,9487,2.0,3,9,47.7408,-122.216,3,0
3,1.0,1230,4600,1.5,3,7,47.5616,-122.392,0,0
5,1.75,2740,9600,1.0,4,7,47.5738,-122.315,0,0
3,2.0,2270,28025,1.0,4,7,47.4857,-122.318,0,0
3,2.5,1300,1187,3.0,3,8,47.6704,-122.391,0,0
4,1.0,1920,13787,1.0,4,7,47.4502,-122.277,0,0
2,1.0,730,2400,1.0,3,4,47.35,-122.322,1,0
3,2.0,1390,5127,1.0,3,8,47.4504,-122.206,0,0
3,2.5,1800,2791,2.0,3,8,47.5442,-122.371,0,0
3,2.5,1880,5502,2.0,3,8,47.5737,-122.018,0,0
3,1.75,1330,12092,1.0,4,6,47.5102,-122.324,0,0
5,2.5,3840,16905,2.0,3,11,47.2996,-122.342,0,0
4,2.25,2460,44431,1.0,4,9,47.6042,-122.147,0,0
4,1.75,2560,15000,1.0,3,7,47.5952,-122.053,0,0
5,2.5,3220,4759,2.0,3,8,47.5957,-122.032,0,0
2,1.0,1670,14695,1.5,5,7,47.7001,-122.2,0,0
4,2.5,2940,35996,2.0,3,9,47.3401,-122.067,0,0
4,2.5,2700,4590,2.0,3,8,47.6734,-122.329,0,0
4,1.0,1860,8505,1.0,4,7,47.4406,-122.194,0,0
4,2.5,3172,5033,2.0,3,8,47.2961,-122.348,0,0
3,1.5,1020,11410,1.0,3,7,47.4811,-122.162,0,0
3,1.75,1410,2052,2.0,3,8,47.5171,-122.347,0,0
3,1.0,960,10815,1.0,5,5,47.3091,-122.006,0,0
4,2.5,2280,4602,2.0,3,8,47.5895,-122.019,0,0
4,1.5,1460,8760,1.0,3,7,47.4698,-122.36,0,0
4,2.25,2070,7500,2.0,4,7,47.727,-122.217,0,0
4,2.25,2350,10072,2.0,3,8,47.7628,-122.168,0,0
2,1.0,990,10556,2.0,3,7,47.5118,-122.188,0,0
5,2.25,2960,7680,1.0,5,8,47.6456,-122.389,2,0
3,1.0,1250,7654,1.0,3,7,47.7289,-122.291,0,0
2,1.0,1640,14100,1.0,4,7,47.5712,-122.143,0,0
3,1.0,940,8571,1.0,3,6,47.5006,-122.336,0,0
5,2.75,2980,13482,1.0,4,8,47.3774,-122.16,0,0
3,2.0,1760,5000,1.0,5,7,47.6408,-122.403,0,0
4,1.75,2160,8000,1.0,4,9,47.3165,-122.382,0,0
2,1.0,910,3750,1.0,3,7,47.6772,-122.369,0,0
3,1.75,1900,3783,1.5,5,7,47.5742,-122.315,0,0
3,1.0,1300,8160,1.0,4,7,47.511,-122.172,0,0
3,1.75,1390,7700,1.0,5,7,47.4559,-122.183,0,0
5,2.25,3410,35536,2.0,3,10,47.65,-122.155,0,0
5,3.0,3640,6930,2.0,3,8,47.3521,-122.012,0,0
3,1.0,1150,9048,1.0,2,7,47.6755,-122.177,0,0
4,3.0,3990,7838,2.0,3,9,47.6857,-122.046,0,0
5,2.75,3650,20150,1.0,4,10,47.6215,-122.224,0,0
4,2.0,2260,8457,2.0,3,9,47.6251,-122.03,0,0
4,3.25,3620,5131,2.0,4,11,47.6499,-122.37,3,0
3,1.75,1490,9120,1.0,5,7,47.4806,-122.163,0,0
3,2.5,1540,7120,1.0,3,7,47.3729,-122.037,0,0
4,2.5,3170,8523,2.0,3,9,47.6854,-122.184,0,0
4,2.0,1530,6375,2.0,3,7,47.4692,-122.162,0,0
3,1.75,1540,3000,1.0,3,7,47.6769,-122.36,2,0
3,2.75,2210,7660,1.0,4,7,47.5619,-122.4,1,0
3,1.0,1260,9600,1.0,3,7,47.4444,-121.762,0,0
2,2.75,1760,4139,2.0,3,8,47.5175,-121.878,0,0
5,2.5,2720,5000,1.5,4,7,47.6827,-122.376,0,0
4,2.5,3520,7815,2.0,3,10,47.6429,-122.412,3,0
3,2.25,2480,8755,2.0,3,8,47.4543,-122.125,0,0
2,1.75,1890,9466,2.0,3,8,47.6144,-122.211,0,0
6,2.25,2820,15600,1.5,5,7,47.4635,-122.362,2,0
3,2.0,1360,8752,1.0,4,6,47.6879,-122.208,2,0
3,1.75,1230,9600,1.0,4,7,47.3675,-122.095,0,0
3,1.5,1710,17707,1.0,4,7,47.5393,-122.216,0,0
2,1.75,1310,10200,1.0,4,6,47.5231,-121.82,0,0
3,1.5,2160,9000,1.0,4,8,47.7241,-122.369,2,0
5,3.5,2420,4670,2.0,3,7,47.5241,-122.285,0,0
3,3.0,1590,7750,1.0,3,7,47.3624,-122.045,0,0
4,1.0,1750,9600,1.5,4,7,47.5759,-122.137,0,0
2,1.0,1190,6200,1.0,3,7,47.7634,-122.34,0,0
4,3.0,2040,5050,1.0,3,8,47.3266,-122.175,0,0
3,1.5,1370,7439,1.0,4,6,47.4499,-122.189,0,0
4,2.75,3410,7750,1.0,5,8,47.5718,-122.406,4,0
2,1.0,1890,4700,1.0,4,7,47.6747,-122.391,0,0
4,2.5,2330,7936,2.0,3,9,47.6269,-122.03,0,0
3,1.75,1580,20588,1.0,3,8,47.706,-122.29,0,0
4,2.25,2300,7524,2.0,4,8,47.313,-122.388,0,0
3,1.5,1510,344124,1.0,4,7,47.2156,-122.029,2,0
4,2.25,2120,3794,2.0,4,7,47.6893,-122.359,0,0
4,2.5,1788,10183,2.0,4,7,47.2883,-122.218,0,0
4,3.0,2400,7680,1.0,3,7,47.6466,-122.389,0,0
3,1.75,1550,10050,1.0,5,7,47.6345,-122.123,0,0
5,4.25,4650,108464,2.0,3,10,47.5669,-121.956,0,0
2,1.0,840,6654,1.0,3,7,47.7319,-122.335,0,0
6,4.0,3180,6551,2.0,3,9,47.6236,-122.023,0,0
3,1.5,2060,44866,1.0,3,8,47.7503,-122.051,0,0
2,2.0,1070,649,2.0,3,9,47.5213,-122.357,0,0
5,2.5,2200,6250,2.0,3,7,47.3675,-122.021,0,0
3,2.0,1560,7000,1.0,4,7,47.3355,-122.284,0,0
5,3.0,2150,6117,1.0,3,7,47.538,-122.356,0,0
4,2.75,2470,5500,1.0,3,9,47.6586,-122.358,3,0
2,1.0,1120,5650,1.0,3,6,47.5155,-122.255,1,0
3,1.75,2610,5544,1.5,3,8,47.684,-122.376,0,0
4,2.5,3030,8335,2.0,3,10,47.578,-122.056,0,0
4,2.5,2720,4738,2.0,3,8,47.515,-121.869,0,0
4,1.75,1850,7730,1.0,5,7,47.7481,-122.355,0,0
2,1.0,800,4046,1.0,3,7,47.6895,-122.382,0,0
3,2.5,2560,9182,2.0,3,9,47.5361,-122.051,0,0
3,2.75,1120,881,3.0,3,8,47.6914,-122.343,0,0
2,1.5,1330,15873,1.0,3,7,47.6359,-122.033,0,0
3,2.25,2220,10530,1.0,4,8,47.6383,-122.098,0,0
3,1.0,1290,4000,1.5,3,7,47.5462,-122.277,0,0
2,2.25,1060,1209,2.0,3,8,47.6369,-122.327,0,0
3,1.0,1740,9163,1.0,3,7,47.705,-122.299,0,0
4,4.0,3770,9750,1.0,4,9,47.7159,-122.367,0,0
3,1.75,1430,16200,1.0,4,7,47.5223,-122.043,0,0
3,1.75,2000,7111,1.0,4,7,47.7676,-122.373,0,0
4,2.75,1540,4840,1.0,4,7,47.5491,-122.375,2,0
3,2.5,1450,5008,1.0,3,7,47.5435,-122.357,0,0
4,3.5,2770,8763,2.0,3,8,47.2625,-122.308,0,0
3,1.75,1290,3870,1.0,5,7,47.5873,-122.29,0,0
5,3.5,2950,2932,3.0,3,8,47.5923,-122.298,0,0
3,1.75,2080,5969,1.0,3,7,47.5474,-122.295,2,0
3,3.5,2380,6250,2.0,3,8,47.5137,-122.252,3,0
4,2.75,4110,8400,2.0,3,9,47.717,-122.281,1,0
3,2.5,1590,9736,2.0,3,7,47.33,-122.278,0,0
3,2.25,1720,9600,1.0,4,7,47.6581,-122.126,0,0
4,2.25,1770,7778,2.0,3,7,47.4192,-122.201,0,0
3,1.75,1000,14061,1.0,4,7,47.7417,-122.093,0,0
4,1.0,1170,4590,1.5,4,7,47.6804,-122.311,0,0
3,2.75,1910,15508,1.0,3,8,47.3128,-122.345,0,0
4,2.0,2270,5760,2.0,4,8,47.5809,-122.39,0,0
2,1.0,860,5000,1.0,3,7,47.5005,-122.267,0,0
4,2.5,2320,5375,2.0,3,7,47.5415,-121.883,0,0
3,2.5,2030,6500,2.0,3,8,47.5654,-122.092,0,0
3,2.5,2530,8669,2.0,3,9,47.3073,-122.395,0,0
2,1.0,770,9715,1.0,4,6,47.4924,-122.312,0,0
3,2.0,2168,4000,1.5,3,8,47.6561,-122.325,0,0
4,2.75,2110,13260,1.0,4,7,47.4513,-122.16,0,0
4,2.5,2620,4050,2.0,3,8,47.5017,-122.34,0,0
4,1.75,2130,11097,1.0,3,7,47.4629,-122.356,0,0
2,1.5,1380,209959,1.0,1,6,47.7461,-122.195,0,0
3,1.5,1660,7221,1.0,3,7,47.4962,-122.32,0,0
3,1.0,1000,5100,1.0,3,7,47.6857,-122.293,0,0
3,3.5,1900,1612,2.0,3,8,47.544,-122.385,0,0
3,1.5,1140,7500,1.0,3,7,47.619,-122.064,0,0
3,1.75,2340,4206,1.0,5,7,47.5759,-122.288,0,0
2,2.25,1230,989,3.0,3,8,47.6975,-122.348,0,0
4,2.0,1950,3757,1.0,4,6,47.5372,-122.269,0,0
3,2.25,1860,4000,1.5,5,7,47.5539,-122.267,0,0
3,1.75,1320,17390,1.0,4,7,47.3257,-122.296,0,0
4,3.0,2390,4000,1.5,5,8,47.6857,-122.331,0,0
2,2.0,1600,64468,1.0,3,7,47.7344,-122.143,0,0
2,1.0,1120,6380,1.0,3,7,47.6951,-122.316,0,0
4,2.5,2460,7930,2.0,3,8,47.6684,-122.175,0,0
3,1.0,910,8700,1.0,4,6,47.449,-122.29,0,0
3,1.5,1050,5525,1.0,5,6,47.3608,-122.083,0,0
4,1.5,1620,7875,1.0,3,7,47.6041,-122.126,0,0
2,1.0,1180,7200,1.0,4,6,47.7475,-122.342,0,0
4,2.75,1920,4627,1.0,3,8,47.5003,-122.23,0,0
4,2.75,2020,7070,1.0,5,7,47.5202,-122.378,0,0
3,2.5,2480,7480,2.0,3,9,47.771,-122.166,0,0
1,1.0,1020,7920,1.0,3,7,47.5385,-122.355,0,0
1,2.25,2140,10350,1.0,3,7,47.7352,-122.17,0,0
4,2.25,2480,9780,1.0,4,8,47.6388,-122.099,0,0
4,2.5,2940,10382,2.0,4,9,47.5333,-122.151,0,0
2,1.75,1510,4980,1.0,3,8,47.7191,-122.023,0,0
3,2.0,1550,8300,1.0,4,8,47.4654,-122.195,0,0
4,1.75,1430,10500,1.0,4,7,47.6083,-122.132,0,0
4,3.5,3600,5217,2.0,3,9,47.6189,-122.286,0,0
